angar-s-panelyami.glb: треугольников 19723, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.89 x 0.36 x 1.00, плита 0.96
figura-neset.glb: треугольников 19752, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.53 x 1.00 x 0.64, плита 0.28
figura-osmatrivaetsya.glb: треугольников 19043, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.55 x 1.00 x 0.49, плита 0.33
figura-ukazyvaet-variant.glb: треугольников 19280, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.54 x 1.00 x 0.59, плита 0.36
figura-ukazyvaet.glb: треугольников 19687, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.54 x 1.00 x 0.59, плита 0.36
kamen-gladkiy.glb: треугольников 18746, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.80 x 1.00, плита 0.49
kamen-granenyy.glb: треугольников 19778, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.74 x 0.99, плита 0.50
kamni-para.glb: треугольников 19600, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.84 x 0.65 x 1.00, плита 0.21
kupol-grib.glb: треугольников 19176, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.69 x 1.00, плита 0.14
led-glyba-granenaya.glb: треугольников 19307, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.86 x 0.80 x 1.00, плита 0.91
led-glyba-kolotaya.glb: треугольников 19908, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.88 x 0.98 x 0.97, плита 0.20
led-glyba-kristallicheskaya.glb: треугольников 19647, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.89 x 0.87 x 1.00, плита 0.71
led-greben.glb: треугольников 19746, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.51 x 0.96, плита 1.00
led-kristally-variant.glb: треугольников 19016, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.82 x 0.96 x 1.00, плита 0.94
led-kristally.glb: треугольников 19156, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.79 x 0.76 x 1.00, плита 0.98
led-polynya.glb: треугольников 19986, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.24 x 0.99, плита 0.95
led-skvazhina.glb: треугольников 19880, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.84 x 1.00 x 0.87, плита 0.32
led-valun-v-shube.glb: треугольников 19893, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.96 x 0.93, плита 0.21
modul-tonnelnyy.glb: треугольников 19185, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.50 x 0.40, плита 0.69
tsisterna.glb: треугольников 18454, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.54 x 0.68 x 1.00, плита 0.67
