sloy;imya;tris;vysota_m;dlina_m;est_tekstura
OurAssets;burovaya-01;60000;1,06;2,00;False
OurAssets;dekor-01;60000;0,86;2,00;False
OurAssets;dekor-02;60000;0,31;2,00;False
OurAssets;dekor-04;60000;0,33;1,98;False
OurAssets;dekor-05;60000;0,62;2,00;False
OurAssets;dekor-06;60000;0,09;2,00;False
OurAssets;dekor-07;60000;1,34;2,00;False
OurAssets;dekor-09;60000;1,60;2,00;False
OurAssets;fabrika-tekstilnaya;60000;0,63;2,00;False
OurAssets;grunt-led-1;60000;0,86;2,00;False
OurAssets;grunt-led-2;60000;0,62;2,00;False
OurAssets;grunt-led-3;60000;0,88;2,00;False
OurAssets;grunt-regolit-4;60000;1,91;2,00;False
OurAssets;kupol-geodezicheskiy;60000;0,37;2,00;True
OurAssets;kupol-tunnel;60000;0,96;2,00;True
OurAssets;ploshchadka-shattla;60000;0,54;2,00;True
OurAssets;sklad-angar;60000;0,80;2,00;True
OurAssets;zhiloy-bashnya;60000;1,38;2,00;True
OurAssets;zhiloy-kupol;60000;0,29;2,00;True
OurAssets;burovaya-03;59999;1,17;2,00;True
OurAssets;burovaya-05;59999;1,03;2,00;True
OurAssets;dekor-03;59999;0,60;2,00;False
OurAssets;grunt-regolit-2;59999;0,92;2,00;False
OurAssets;stantsiya-atmosfernaya;59999;0,85;2,00;False
OurAssets;dekor-08;59998;0,56;2,00;False
OurAssets;zavod-pishchevoy;59998;0,58;2,00;True
OurAssets;zhiloy-barak;59998;0,34;2,00;False
OurAssets;kupol-grib;59997;0,59;2,00;True
OurAssets;shuttle-v2-1536;59997;1,13;2,00;False
OurAssets;shuttle;59997;1,13;2,00;False
OurAssets;burovaya-02;59996;0,58;2,00;True
OurAssets;burovaya-04;59996;0,66;2,00;True
OurAssets;sklad-bunkery;59996;0,59;2,00;True
v3;shattl-zakrytyy;27181;0,99;2,00;True
v3;shattl-otkrytyy;26716;1,01;2,00;True
v2;zhiloy-kupol;23956;0,01;0,01;True
v2;kupol-tunnel;23793;0,01;0,01;True
v2;ploshchadka-shattla;23298;0,01;0,01;True
v2;zhiloy-bashnya;23183;0,01;0,01;True
v2;burovaya-05;22612;0,01;0,01;True
v2;kupol-geodezicheskiy;22487;0,01;0,01;True
v2;burovaya-03;22192;0,01;0,01;True
v2;burovaya-04;21757;0,01;0,01;True
v2;sklad-angar;21262;0,01;0,01;True
v2;zavod-pishchevoy;21061;0,01;0,01;True
v3;led-polynya;19984;0,49;2,00;True
v3;led-valun-v-shube;19888;1,93;2,00;True
v3;led-glyba-kolotaya;19885;2,02;2,00;True
v3;led-skvazhina;19867;2,30;2,00;True
v2;burovaya-02;19839;0,01;0,01;True
v3;kamen-granenyy;19778;1,48;2,00;True
v3;figura-neset;19747;3,14;2,00;True
v3;led-greben;19745;1,02;2,00;True
v3;angar-s-panelyami;19714;0,72;2,00;True
v2;sklad-bunkery;19697;0,01;0,01;True
v3;figura-ukazyvaet;19686;3,42;2,00;True
OurAssets;shuttle-20000;19663;1,12;2,00;False
v3;led-glyba-kristallicheskaya;19645;1,74;2,00;True
v3;kamni-para;19600;1,31;2,00;True
v3;led-glyba-granenaya;19307;1,61;2,00;True
v3;figura-ukazyvaet-variant;19279;3,41;2,00;True
v3;modul-tonnelnyy;19178;1,00;2,00;True
v3;kupol-grib;19166;1,38;2,00;True
v3;led-kristally;19155;1,52;2,00;True
v3;figura-osmatrivaetsya;19043;3,67;2,00;True
v3;led-kristally-variant;19015;1,93;2,00;True
v2;dron-t3;18980;0,01;0,01;True
v3;kamen-gladkiy;18746;1,60;2,00;True
v3;tsisterna;18450;1,36;2,00;True
v2;dron-t1;18220;0,01;0,01;True
v2;dron-t2;17390;0,01;0,01;True
v3;truba-na-kozlakh;2988;1,06;2,00;True
v3;ballony-na-poddone;2917;1,91;2,00;True
v3;kadka-s-zelenyu;2375;1,46;2,00;True
OurAssets;shuttle-2000;1949;1,13;2,00;False
